adduser	3.153ubuntu1
apt	3.2.0
base-files	14ubuntu6.2
base-passwd	3.6.8
bash	5.3-2ubuntu1
bsdutils	1:2.41.3-3ubuntu2.2
ca-certificates	20260601~26.04.1
coreutils	9.5-1ubuntu2+0.0.0~ubuntu25
coreutils-from-uutils	0.0.0~ubuntu25
cpio	2.15+dfsg-2.1ubuntu0.1
curl	8.18.0-1ubuntu2.5
dash	0.5.12-12ubuntu3
debconf	1.5.92
debianutils	5.23.2build1
diffutils	1:3.12-1ubuntu0.1
dirmngr	2.4.8-4ubuntu3.1
dosfstools	4.2-1.2build1
dpkg	1.23.7ubuntu1
e2fsprogs	1.47.2-3ubuntu4
file	1:5.46-5build2
findutils	4.10.0-3build2
gcc-16-base:amd64	16-20260322-1ubuntu1
gnu-coreutils	9.7-3ubuntu2.1
gnupg	2.4.8-4ubuntu3.1
gpg	2.4.8-4ubuntu3.1
gpg-agent	2.4.8-4ubuntu3.1
gpgconf	2.4.8-4ubuntu3.1
gpgsm	2.4.8-4ubuntu3.1
gpgv	2.4.8-4ubuntu3
grep	3.12-1
gzip	1.14-1~exp2ubuntu1.1
hostname	3.25build1
init-system-helpers	1.69
kmod	34.2-2ubuntu2
libacl1:amd64	2.3.2-2
libaio1t64:amd64	0.3.113-8build1
libapt-pkg7.0:amd64	3.2.0
libasound2-data	1.2.15.3-1ubuntu1.1
libasound2t64:amd64	1.2.15.3-1ubuntu1.1
libassuan9:amd64	3.0.2-2build1
libatomic1:amd64	16-20260322-1ubuntu1
libattr1:amd64	1:2.5.2-4ubuntu0.1
libaudit-common	1:4.1.2-1build1
libaudit1:amd64	1:4.1.2-1build1
libblkid1:amd64	2.41.3-3ubuntu2.2
libbpf1:amd64	1:1.6.3-1ubuntu1
libbrlapi0.8:amd64	6.7-1ubuntu6
libbrotli1:amd64	1.2.0-3build1
libbsd0:amd64	0.12.2-2build2
libburn4t64:amd64	1.5.6-1.2build1
libbz2-1.0:amd64	1.0.8-6ubuntu0.1
libc-bin	2.43-2ubuntu2.3
libc-gconv-modules-extra:amd64	2.43-2ubuntu2.3
libc6:amd64	2.43-2ubuntu2.3
libcacard0:amd64	1:2.8.1-2
libcap-ng0:amd64	0.8.5-4build5
libcom-err2:amd64	1.47.2-3ubuntu4
libcrypt1:amd64	1:4.5.1-1
libcurl4t64:amd64	8.18.0-1ubuntu2.5
